Song Title,Streams,Daily,Date
past life - instrumental,232668,394,2026-05-11
* Bang Bang - A Cappella,226996,279,2026-05-11
Baby I - Cosmic Dawn Radio Edit,224227,46,2026-05-11
Break Free - A Cappella,216326,346,2026-05-11
ordinary things (feat. Nonna) - instrumental,211074,340,2026-05-11
imperfect for you - instrumental,190261,255,2026-05-11
* Bang Bang - Kat Krazy Extended Mix,177615,3,2026-05-11
* For Good - Sing-Along,162588,280,2026-05-11
One Last Time - Instrumental,139071,275,2026-05-11
Problem - Dave Aude Twerk Edit,134633,8,2026-05-11
Problem - Wayne G Radio Edit,128872,7,2026-05-11
Love Me Harder - Gregor Salto Amsterdam Mix,121004,7,2026-05-11
The Way - JdB Radio,119491,44,2026-05-11
intro (end of the world) - a cappella,116439,239,2026-05-11
* Bang Bang - iLL BLU Mix Radio Edit,113027,2,2026-05-11
* Bang Bang - 3LAU Extended Mix,111195,3,2026-05-11
Break Free - Instrumental,100892,187,2026-05-11
The Way - Sidney Samson Remix,100127,5,2026-05-11
7 rings,2811628286,802356,2026-05-10
"thank u, next",2226457769,726786,2026-05-10
* Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2208635991,1050823,2026-05-10
One Last Time,2080918269,949245,2026-05-10
Into You,1975333783,1060187,2026-05-10
we can't be friends (wait for your love),1942807093,1270813,2026-05-10
Side To Side,1878957088,899906,2026-05-10
positions,1733203311,408740,2026-05-10
* Bang Bang,1694155927,552768,2026-05-10
Dangerous Woman,1595068515,718669,2026-05-10
no tears left to cry,1571548925,383852,2026-05-10
Santa Tell Me,1516509146,46723,2026-05-10
Stuck with U (with Justin Bieber),1432568688,479398,2026-05-10
Love Me Harder,1394484901,1202036,2026-05-10
* Die For You (with Ariana Grande) - Remix,1302135262,500487,2026-05-10
God is a woman,1274830187,415189,2026-05-10
* Rain On Me (with Ariana Grande),1238333493,303081,2026-05-10
Break Free,1221480931,644551,2026-05-10
34+35,1177051379,307085,2026-05-10
"break up with your girlfriend, i'm bored",1132243073,235904,2026-05-10
Problem,1123139320,461110,2026-05-10
boyfriend (with Social House),1076649062,404009,2026-05-10
Everyday,765979472,376912,2026-05-10
"yes, and?",748305411,313325,2026-05-10
breathin,717925362,135588,2026-05-10
pov,717722039,216728,2026-05-10
the boy is mine,651782659,333446,2026-05-10
bloodline,642541544,412806,2026-05-10
motive (with Doja Cat),616462469,159650,2026-05-10
intro (end of the world),603527805,258947,2026-05-10
needy,594027607,544439,2026-05-10
The Way,591020947,246771,2026-05-10
Let Me Love You,556908580,291899,2026-05-10
imagine,474849140,82201,2026-05-10
* Good as Hell (feat. Ariana Grande) - Remix,471414200,42681,2026-05-10
everytime,453207312,208888,2026-05-10
* My Favorite Part,446891474,129704,2026-05-10
supernatural,443983974,399930,2026-05-10
Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),424219457,63264,2026-05-10
Almost Is Never Enough,385205603,140464,2026-05-10
Focus,359431694,69820,2026-05-10
Greedy,354148656,136524,2026-05-10
NASA,349314992,54619,2026-05-10
* Dance To This (feat. Ariana Grande),334402206,59302,2026-05-10
ghostin,333504807,125895,2026-05-10
bad idea,332759767,80238,2026-05-10
Be Alright,330859334,58540,2026-05-10
Last Christmas,326838991,10855,2026-05-10
* Bed (feat. Ariana Grande),325513556,43970,2026-05-10
in my head,322060268,88092,2026-05-10
bye,321880668,329319,2026-05-10
"Beauty and the Beast - From ""Beauty and the Beast""/Soundtrack Version",312567551,49917,2026-05-10
goodnight n go,305609421,96937,2026-05-10
sweetener,300863485,93424,2026-05-10
eternal sunshine,296303055,183408,2026-05-10
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",293413257,52698,2026-05-10
"* Santa, Can’t You Hear Me",288999475,6295,2026-05-10
twilight zone,282913834,301969,2026-05-10
* Quit,275846674,37820,2026-05-10
Best Mistake,272830334,94032,2026-05-10
just like magic,264595386,79127,2026-05-10
Moonlight,261924684,82406,2026-05-10
safety net (feat. Ty Dolla $ign),260644770,110708,2026-05-10
fake smile,249482811,37768,2026-05-10
Santa Baby,246481346,2303,2026-05-10
Daydreamin',238651435,75440,2026-05-10
* I Don't Do Drugs (feat. Ariana Grande),238442441,61557,2026-05-10
nasty,236753985,101911,2026-05-10
Honeymoon Avenue,231946771,100690,2026-05-10
R.E.M,229311415,67825,2026-05-10
My Everything,223929807,70982,2026-05-10
* Defying Gravity,213010433,102608,2026-05-10
Touch It,211691294,96155,2026-05-10
MONOPOLY (with Victoria Monét),204500026,25671,2026-05-10
don't wanna break up again,203248559,114192,2026-05-10
off the table (with The Weeknd),202017725,63288,2026-05-10
Just A Little Bit Of Your Heart,200579357,27095,2026-05-10
successful,191934905,44122,2026-05-10
better off,183352355,57924,2026-05-10
Thinking Bout You,178973034,59560,2026-05-10
Tattooed Heart,176817524,69189,2026-05-10
