#,Artist,Listeners,Daily +/-,Peak,PkListeners
600,Alleh,16717115,68738,422,18737516
601,Jonas Brothers,16700473,-18981,119,34634829
602,Destiny's Child,16681432,-2183,330,22189099
603,Gente De Zona,16679516,36850,593,16777130
604,Palak Muchhal,16676287,-1111,414,17887750
605,Roxette,16672262,-6687,453,17854254
606,Ari Lesmana,16642218,140804,606,16642218
607,Blondie,16639459,-33838,552,17031276
608,eńau,16619268,140517,608,16619268
609,Mon Laferte,16606254,-69029,457,19174981
610,Rick Ross,16572043,18050,479,18003411
611,Juan Luis Guerra 4.40,16560254,-57737,551,17655967
612,Pamungkas,16526260,12814,552,16854235
613,SOLTO (FR),16520814,94589,613,16520814
614,WILLOW,16514873,-92009,360,17403693
615,The Pussycat Dolls,16508953,8019,539,17567464
616,Lin-Manuel Miranda,16505499,14814,461,17320181
617,Jatin-Lalit,16499778,19754,532,17504548
618,Capital Cities,16494297,189058,518,16494297
619,Gabry Ponte,16491322,-15810,350,20812009
620,The Verve,16441240,21109,573,17369727
621,The Temper Trap,16397988,-47709,560,17154696
622,Benny Dayal,16375223,-17907,522,17538357
623,WALK THE MOON,16370582,54145,410,18076284
624,DJ Luian,16311943,-30263,293,19413064
625,Yeat,16308534,-5851,149,28149740
626,Los Enanitos Verdes,16289719,-47313,543,16741635
627,Bryant Myers,16241743,-56981,341,19474236
628,Nadhif Basalamah,16241127,-18140,417,20306509
629,fun.,16229304,-75977,547,18065854
630,"Tito ""El Bambino""",16228824,-41856,609,16622431
631,Aditya Rikhari,16224347,-43577,248,25858107
632,Slipknot,16219391,-28603,543,17047955
633,AURORA,16206248,2207,473,16643117
634,Jasleen Royal,16204064,3346,298,19937199
635,Dolly Parton,16197360,38,245,26134547
636,Victor Mendivil,16192326,-36294,473,18922163
637,JID,16182152,-27166,100,34163239
638,NATTI NATASHA,16175999,-26258,331,17498549
639,Yorghaki,16149324,70429,399,19224061
640,Ice Cube,16106478,-22971,325,18290286
641,GloRilla,16080014,-7158,166,28822517
642,Mazzy Star,16072039,-30970,590,16194305
643,Creed,16066989,-28733,639,16102627
644,F3miii,15976213,-6852,630,16338661
645,Ian Asher,15938773,42516,645,15938773
646,Kausar Munir,15911625,5251,311,21771072
647,Cage The Elephant,15909968,-74516,401,18343382
648,M83,15888800,1811,584,17100797
649,Asha Bhosle,15872949,-12012,469,19150054
650,Baby Keem,15866172,-29534,237,23094570
651,Aitana,15850889,77026,411,15850889
652,Gusttavo Lima,15829624,83207,508,15829624
653,Ben E. King,15826886,-23451,517,16958564
654,Kumar Sanu,15816509,-1878,593,16478599
655,L.V.,15816157,36074,433,19939437
656,Sid Sriram,15807677,6157,566,16552411
657,Fergie,15793308,5981,562,16222179
658,Los Dareyes De La Sierra,15770912,-24778,518,17094913
659,Madison Beer,15760359,-35627,258,26495861
660,Lukas Graham,15746749,70473,407,18243782
661,Olly Alexander (Years & Years),15722605,-69564,642,15993408
662,K. S. Chithra,15718710,4735,619,15995690
663,Selena Gomez & The Scene,15684183,24454,525,16215800
664,Latto,15659408,-67066,74,38062951
665,Taio Cruz,15656440,-8112,520,15847887
666,Gajendra Verma,15640605,42007,651,15918877
667,Jaani,15626941,-9349,319,21270757
668,Mambo Kingz,15565427,-21429,298,19318210
669,Tony Dize,15560397,-4486,481,16739934
670,Arash,15558227,-46002,479,17798006
671,R. D. Burman,15553474,7727,599,16676572
672,Rod Stewart,15547124,-67379,521,17624939
673,Papa Roach,15545747,-19076,597,16320189
674,Addison Rae,15542816,33279,450,18383467
675,John Mayer,15534064,-110466,327,19806976
676,Portugal. The Man,15498580,-71828,517,17175153
677,Henrique & Juliano,15484395,-19542,461,18883784
678,mikeeysmind,15379301,-33832,543,17314961
679,Mc Jacaré,15374967,-1909,514,18094889
680,Cosculluela,15354468,-18699,589,16361702
681,OMI,15344251,-56351,669,15480882
682,Los Tucanes De Tijuana,15332473,-42567,484,15375040
683,TINI,15323747,-32618,290,26064686
684,Hindia,15317589,-39363,606,16594719
685,Artemas,15307696,-61808,43,53546898
686,Elley Duhé,15306793,11204,150,25586962
687,Mc Livinho,15290547,-19663,336,21311861
688,Armaan Malik,15273469,-10402,381,17350893
689,Sukhwinder Singh,15251000,-29059,519,17809288
690,Neeraj Shridhar,15234408,-44990,684,15385187
691,DJ Japa NK,15232156,-45723,443,19644779
692,STELLA LEFTY,15221546,87099,692,15221546
693,Lykke Li,15215728,-97511,576,17318205
694,*NSYNC,15208320,-9011,138,32534951
695,Sadhana Sargam,15204476,-8025,633,15867042
696,Alemán,15175777,-29882,268,23547346
697,Madhubanti Bagchi,15155009,-33592,418,19090841
698,Manu Chao,15146658,-12966,523,17210183
699,The Smashing Pumpkins,15144999,-21971,659,15285400
700,Dave Stewart,15136059,-21336,428,19362767
701,Duran Duran,15124297,-24598,582,16222434
702,AP Dhillon,15123879,-33912,394,20323998
703,Galantis,15123651,-27386,338,18896883
704,PNAU,15116860,-62846,220,22323897
705,Jonita Gandhi,15101204,-63602,337,18343744
706,Mc Lele JP,15093732,18675,706,15093732
707,No Doubt,15050797,-11273,688,15081404
708,Silk Sonic,15037837,-42150,373,19375345
709,Alfredo Olivas,15011366,-66648,582,15726588
710,The Cardigans,15007862,-600,669,15600484
711,NIKI,15001552,21821,288,23598735
712,Eden Muñoz,14993160,-45792,367,17438441
713,Milo j,14992985,-39643,265,21285336
714,Audioslave,14989658,11351,706,15437802
715,Anand Raj Anand,14984569,-25681,648,15753522
716,Ace of Base,14981856,17617,716,14981856
717,Brooks & Dunn,14949927,-24151,714,14974078
718,Ruth B.,14942936,-49904,224,23065545
719,Dean Lewis,14917141,-16753,266,19801720
720,TWICE,14910761,-4863,222,27003979
721,Tracy Chapman,14893466,11264,348,19175912
722,Seeb,14889984,-36336,603,15667904
723,mgk,14857516,-33049,403,19192009
724,B Praak,14849288,21780,366,19588169
725,Iyaz,14835788,22300,655,15769288
726,Eurythmics,14828348,-18622,364,19541941
727,Sufjan Stevens,14803274,22726,727,14902108
728,Survivor,14796461,-51562,598,15708723
729,Chief Keef,14773590,-42950,436,16199432
730,Busta Rhymes,14771714,38606,599,14771714
731,Meek Mill,14769344,-18595,393,15921568
732,Salim-Sulaiman,14766620,-16747,524,16904157
733,Armin van Buuren,14755833,-15504,440,16859283
734,League of Legends,14748403,-22891,226,26494221
735,Yuvan Shankar Raja,14719994,14657,663,15088035
736,George Ezra,14702029,-10123,291,20125754
737,Little Mix,14673015,-55341,287,19963380
738,Hoobastank,14670512,35139,738,14670512
739,Kate Bush,14666038,-31271,238,27486398
740,Fifth Harmony,14642574,-59465,539,16680095
741,Randy Nota Loca,14639170,18221,741,14639170
742,The Clash,14630770,-1567,379,21751121
743,Noah Cyrus,14612221,-87620,339,20615213
744,The White Stripes,14609925,-15744,290,22483264
745,Wale,14606685,-55860,488,18334727
746,Beach House,14599420,-42944,521,15691411
747,Chayanne,14591897,-41354,474,17052708
748,Keinemusik,14580312,-48688,233,25010459
749,She & Him,14557201,-1354,293,24879775
750,Pop Smoke,14551329,-23428,162,25280553
751,Arcane,14544730,-22792,132,33507367
752,Juan Gabriel,14538778,-34285,563,16611454
753,Bon Iver,14537936,-6362,287,21981333
754,Mc Rodrigo do CN,14514378,-6159,449,19213689
755,Duki,14507435,-12147,162,26492455
756,Plain White T's,14486501,106691,741,14656518
757,Polo G,14471699,-30264,170,24908452
758,Lil Yachty,14467740,-53740,315,20524026
759,Julia Michaels,14461194,-22923,309,20387752
760,Raj Shekhar,14457883,7455,521,16273475
761,Sublime,14445444,-37425,715,14903298
762,Toby Keith,14405168,-49301,760,14470164
763,blackbear,14393612,-76409,259,19962853
764,Mumford & Sons,14359597,-17909,476,18478329
765,Dimitri Vegas & Like Mike,14330996,13929,357,19897730
766,Jesse & Joy,14322067,-44297,440,18112524
767,Crowded House,14321026,-44749,660,15477129
768,Soulja Boy,14301051,-25228,662,15359039
769,Ozzy Osbourne,14283678,-47979,218,27871194
770,Counting Crows,14280287,30869,713,14280287
771,Shaan,14263797,1344,623,15757315
772,Daecolm,14255636,-55552,468,18322616
773,Adam Port,14241172,-50921,241,24739687
774,Abhijeet,14240040,-24086,689,15079490
775,Chrystal,14216455,4423,448,18638803
776,Nadeem Shravan,14174568,-3259,715,14791843
777,Karthik,14148027,9770,723,14148027
778,Bella Kay,14145959,20105,533,18126437
779,Kris R.,14142757,-34982,665,15182685
780,Frankie Valli,14136347,-28264,746,14641589
781,NLE Choppa,14109085,-24669,181,24991591
782,Luar La L,14097568,-20783,605,15868686
783,Lloyd,14074746,17588,782,14127693
784,Zac Brown Band,14072632,-60024,654,14262517
785,Sting,14071345,-16787,551,15960781
786,Ankit Tiwari,14064597,14858,529,15591657
787,Panda,14060227,6090,779,14322519
788,Grupo Menos É Mais,14033885,-21786,410,21136047
789,Asees Kaur,14024810,-11300,420,17605775
790,Starship,14023007,5083,614,16156777
791,ELENA ROSE,14012989,-16232,707,15385600
792,NewJeans,14008694,-14165,160,26786050
793,Divya Kumar,14006970,-17339,405,18610694
794,The Beach Boys,13989609,-46618,161,31364150
795,Cassie,13987948,31458,710,14778978
796,Thomas Rhett,13954368,-25041,520,16346595
797,Brytiago,13950178,-17603,556,14580280
798,Blur,13947179,-38142,556,14603910
799,G. V. Prakash,13942383,-14748,673,14704664
800,Bazzi,13939493,24961,428,14609192
801,John Martin,13932099,21648,668,13932099
802,girl in red,13932055,-8005,262,23016471
803,Bob Dylan,13918673,43608,492,17764681
804,Vicente Fernández,13863575,-242379,647,15869271
805,Tom Petty,13860236,-62779,680,13944531
806,Morat,13844023,-37981,344,16643863
807,MC Tuto,13839125,-57341,400,18873532
808,Nicki Nicole,13810670,-13460,173,27818511
809,Darshan Raval,13808723,-45797,286,20349184
810,Dimitri Vegas,13805451,32238,446,17182026
811,Los Tigres Del Norte,13792630,-60311,689,14848253
812,Alec Benjamin,13765912,-35612,251,23650761
813,Banjaare,13764057,-61837,539,17841675
814,Paul McCartney,13763487,-44379,79,45898800
815,Guru Randhawa,13760113,-10481,524,17128875
816,Neha Kakkar,13757782,2431,397,18678926
817,Matheus & Kauan,13746477,-30011,595,15789136
818,Bring Me The Horizon,13715879,-273,475,15125559
819,Zé Neto & Cristiano,13701937,-3892,584,14701454
820,Michael Bublé,13691124,36375,13,75604751
821,Dalex,13687085,-47651,355,18038673
822,LISA,13683093,-51762,191,26847435
823,Shekhar Ravjiani,13652256,-13317,392,16282190
824,Boza,13642013,-18834,763,14423761
825,ROA,13606281,-22919,674,15106769
826,The Game,13598432,-13756,508,15408426
827,Emmanuel Cortes,13596649,-10087,827,13606736
828,Jorge & Mateus,13589232,-22725,539,15856100
829,Korn,13588106,21948,683,14393908
830,John Lennon,13583318,-109982,76,48140403
831,LMFAO,13571601,-40305,803,14005779
832,Armaan Khan,13570150,-24078,595,16757602
833,Nate Ruess,13561408,-30148,573,15298049
834,Malachiii,13560539,-33325,262,23766421
835,Kavita Krishnamurthy,13552331,2779,763,14161395
836,"Héctor ""El Father""",13532347,-47633,646,15595594
837,Van Halen,13530568,-19223,485,14349969
838,Cody Johnson,13513437,-12344,838,13525781
839,Eric Clapton,13488378,-40186,550,14293622
840,EsDeeKid,13484280,25602,355,22594407
841,Trueno,13483909,-42719,178,28176321
842,Phoebe Bridgers,13480845,4163,706,13480845
843,Jósean Log,13462538,-37554,841,13500092
844,Zendaya,13443238,-19721,496,15183083
845,Nusrat Fateh Ali Khan,13442206,-31484,748,14462677
846,James Blunt,13438711,-29716,553,14529059
847,Melanie Martinez,13367857,27577,257,20251491
848,Omar Camacho,13332607,36388,765,14187126
849,Herencia De Grandes,13316959,-52986,690,14940263
850,Kishore Kumar,13312944,20922,732,14352851
851,Willie Colón,13281990,-70095,617,15904888
852,Luke Bryan,13280511,-29335,601,13359939
853,Snow Patrol,13267417,393,754,13274460
854,Haddaway,13237442,-78820,753,14395604
855,Cher,13232541,-24828,217,25664744
856,Sai Abhyankkar,13228003,-577,790,14210248
857,Morad,13226468,-1379,478,16713544
858,Jhené Aiko,13212832,12050,557,13925141
859,Marc Seguí,13161473,32632,817,13853684
860,Robbie Williams,13156788,16473,392,19224373
861,Shafqat Amanat Ali,13153936,-3712,686,14058536
862,Ikky,13115391,-26394,516,18001161
863,Rammstein,13104170,-17319,636,13745503
864,Cardenales De Nuevo León,13098393,-43981,819,13795175
865,Bad Gyal,13096505,-66169,405,16628326
866,4 Non Blondes,13090175,-23167,617,15533926
867,Shashaa Tirupati,13088749,-30350,797,13429639
868,Jack Johnson,13087899,-5885,518,15485519
869,Juan Magán,13083361,-3614,866,13131523
870,La Oreja de Van Gogh,13083257,-19452,462,17350078
871,Anuradha Paudwal,13076429,-3514,701,14939639
872,Mahalakshmi Iyer,13044664,20460,732,14172899
873,Jay Sean,13043044,26325,873,13043044
874,Mustafa Zahid,13037161,76092,874,13037161
875,Aaron Smith,13025211,-29092,824,13725317
876,DNCE,13023417,12913,591,13023417
877,Skepta,13018650,-2565,559,17449892
878,Danger Mouse,13014144,-31007,523,17141937
879,RÜFÜS DU SOL,13012328,-20069,872,13057239
880,Bomba Estéreo,13006082,-26694,290,18055394
881,Stryv,12978855,-43419,266,23709586
882,Gesaffelstein,12974256,5411,273,19186476
883,Clementine Douglas,12964484,-19493,399,20042177
884,Nadin Amizah,12963378,-9190,848,13312903
885,Edgardo Nuñez,12960813,-57699,431,16906197
886,MJ Records,12955889,11427,867,13199542
887,Priya Saraiya,12951811,7862,467,17930909
888,Luan Santana,12947246,17673,479,15797554
889,Mario,12941151,1362,697,14242674
890,Ice Spice,12931639,-23895,49,47203544
891,MEDUZA,12925891,-2415,222,22148251
892,Spice Girls,12923352,14501,591,13198984
893,Johnny Cash,12917935,-38907,592,13632777
894,Murilo Huff,12910853,-9592,623,13766085
895,Descemer Bueno,12884089,51452,776,12960468
896,Rascal Flatts,12872318,20366,822,12872318
897,Young Cister,12858601,-15158,512,17104142
898,John Summit,12854077,-39528,732,14612255
899,John Denver,12852924,-4578,600,13363125
900,Tiago PZK,12843945,-13552,244,22623731
901,Niall Horan,12843602,-37595,129,27578996
902,Jon Pardi,12834837,-36256,849,12925472
903,Pablo Alborán,12816736,-44171,519,14872280
904,New West,12814139,-142491,421,15372580
905,Chicago,12813218,-28926,790,12857116
906,LOS DOS DE TAMAULIPAS,12812350,49331,906,12812350
907,Tammi Terrell,12805044,21685,445,16282284
908,Quavo,12772849,4714,188,27599002
909,Jeff Buckley,12765937,64444,894,12801660
910,Clave Especial,12763575,-35043,560,15760396
911,CORTIS,12760296,2742,911,12760296
912,6LACK,12753009,-37260,321,16978376
913,Mauvais djo,12743129,95713,913,12743129
914,Leon Thomas,12724298,-38243,507,16439450
915,NF,12715482,-22297,275,19447227
916,The Walters,12705525,-19289,371,19385847
917,6ix9ine,12693198,4801,584,13730866
918,David Kushner,12691974,-4737,143,27928294
919,Surf Curse,12691286,-47330,319,20913105
920,Pol Granch,12683105,32740,851,13363615
921,Jory Boy,12671479,-20692,689,14312548
922,Van Morrison,12668774,-36264,333,21361390
923,Passenger,12651926,1650,422,16765920
924,Omar Apollo,12642631,7563,592,12642631
925,Tina Turner,12635599,-49603,308,19164105
926,Don McLean,12629228,-84442,895,12898473
927,Jason Aldean,12624640,7712,698,12624640
928,Bailey Zimmerman,12601477,-60208,516,16608913
929,Mc IG,12597268,62376,640,13260131
930,Brray,12595790,-33252,405,16966488
931,Leon Bridges,12581561,29475,597,14770418
932,Tego Calderón,12550068,-21262,746,13772418
933,slxughter,12521331,-34389,508,18194112
934,Haze,12504061,4124,644,13468322
935,James Hype,12502442,-10390,460,13541656
936,Soda Stereo,12497069,-26549,654,13911236
937,Lyanno,12491167,-14566,416,15200027
938,Jazzy,12487638,-43246,812,12814714
939,Chris Isaak,12441809,-42981,789,13827277
940,Ciara,12428888,26153,639,13545452
941,NOTION,12425854,16925,532,16110494
942,The Doobie Brothers,12401131,24556,616,15271641
943,INNA,12387289,-48074,646,13405922
944,Indila,12366703,32409,777,13930266
945,For Revenge,12335840,10257,813,12765239
946,The Animals,12314790,-35452,790,12930170
947,MARINA,12311011,-25413,688,14928338
948,La Factoria,12308461,-12157,945,12343856
949,Kim Petras,12289141,-18384,43,46551289
950,Thaman S,12260900,14108,591,14566351
951,Lionel Richie,12246573,-7114,641,13048162
952,Lunay,12243393,-66901,456,15718665
953,Axwell,12239352,18149,860,12286851
954,Banda El Recodo,12237325,-67531,943,12328732
955,Max McNown,12222090,60881,955,12222090
956,Virlan Garcia,12221372,-48023,859,13352788
957,Jasiel Nuñez,12204772,28019,713,12779992
958,Kansas,12195428,-8235,646,13264985
959,Florida Georgia Line,12186172,-33506,505,13886025
960,Laura Pausini,12186029,-3840,517,16503545
961,Kenny Rogers,12173623,-15911,842,12539917
962,Normani,12171437,-62953,521,13231383
963,Shubh,12156137,-2313,521,16571303
964,ROLE MODEL,12144634,-37718,896,12858876
965,Hombres G,12139434,-26165,589,14682087
966,Diego & Victor Hugo,12135693,-35650,657,14851869
967,Flo Milli,12086011,5100,262,22109344
968,The Mamas & The Papas,12067887,7216,622,13830643
969,Cristian Castro,12067834,-47651,757,14519230
970,Tokischa,12067153,21069,394,17115778
971,COLORS,12066223,42743,765,14430194
972,Alan Jackson,12064018,-21536,884,12085554
973,Boston,12062718,17164,921,12456941
974,Phantogram,12061445,-31521,919,12222891
975,Lizzy McAlpine,12042103,11897,293,18459665
976,Vika Jigulina,12041235,4006,975,12041235
977,bbno$,12032667,-34518,554,16617391
978,W&W,12012090,-1636,440,17304881
979,Yeah Yeah Yeahs,11989950,9323,816,11989950
980,Tommy Richman,11983141,-33301,47,50755802
981,Suki Waterhouse,11981045,-29119,915,12083413
982,Akhil Sachdeva,11961186,88663,982,11961186
983,Kool & The Gang,11939211,-39570,875,12255956
984,Alice In Chains,11935151,4902,935,12458698
985,El De Las R's,11933997,90529,985,11933997
986,Rvfv,11933502,5791,647,13668758
987,KHEA,11933281,-22367,458,16911588
988,Dhanda Nyoliwala,11923070,26041,988,11923070
989,Altamash Faridi,11913090,1616,530,13862589
990,Kreamly,11903023,-17301,598,15470635
991,Ifan Seventeen,11882355,-54543,877,13072089
992,Simone Mendes,11877944,-11260,533,18097316
993,Nio Garcia,11875690,-17628,484,13791945
994,Fitz and The Tantrums,11871038,1403,756,13718383
995,Satinder Sartaaj,11870397,-49228,688,15106282
996,Alex Rose,11859545,-12052,985,12067936
997,Hans Zimmer,11859430,10741,562,14714998
998,Krono,11855935,-17147,947,12311362
999,Faithless,11829863,40007,999,11829863
1000,Cloonee,11813776,59655,1000,11813776
1001,Shenseea,11803689,-19910,210,27045924
1002,Ana Castela,11798099,-32280,324,20415436
1003,Milky,11787034,30346,744,14682855
1004,Mariana Fagundes,11784772,4940,1004,11784772
1005,Mc Don Juan,11777953,-26601,421,17278848
1006,Haricharan,11774977,-19463,836,12205191
1007,YG,11770296,-93634,530,12471725
1008,La Bouche,11764530,-34095,645,13267972
1009,Jorja Smith,11763222,31916,469,16402144
1010,Avenged Sevenfold,11746650,-18832,715,12268247
1011,Rudimental,11743191,-1457,439,17290320
1012,Flume,11736820,-13853,571,13480342
1013,Neil Young,11726541,15,937,11882572
1014,Yebba,11696368,-41920,543,17084853
1015,Prospa,11695312,37381,1015,11695312
1016,R3HAB,11682257,-23469,210,23584295
1017,Tom Petty and the Heartbreakers,11677704,-5774,949,11709727
1018,Ultra Naté,11674462,147038,1018,11674462
1019,Will Smith,11673829,-30564,819,12070095
1020,Micro TDH,11669749,-37593,732,12474168
1021,Belinda,11649691,-13588,585,14390031
1022,Kavita Seth,11649675,-36393,1009,11748267
1023,Disciples,11644014,-41694,755,12001686
1024,Jyotica Tangri,11637418,68437,1024,11637418
1025,ZXKAI,11636574,-35489,560,17123403
1026,Mc Negão Original,11630711,14408,980,11710732
1027,Waka Flocka Flame,11621936,12187,796,13652162
1028,Swara Verma,11621813,-53991,561,17180382
1029,Rage Against The Machine,11613554,-16766,737,11989032
1030,Hansika Pareek,11583962,-5503,839,12429407
1031,Kane Brown,11568277,28929,418,18066809
1032,Jungle,11564419,-33500,544,14773883
1033,KALEO,11559573,-25912,471,17159684
1034,SAIKO,11552993,-29417,418,16442141
1035,Wheatus,11548167,22826,914,12726942
1036,Bradley Cooper,11545679,-25247,457,16887959
1037,José José,11539842,-52574,751,13624656
1038,Luny Tunes,11525883,-14112,937,12559997
1039,Clarent,11523507,6581,1036,11523507
1040,Eddy Lover,11522463,17000,746,13283970
1041,Casper Magico,11517716,218,936,12072021
1042,Yng Lvcas,11508196,11206,101,32431402
1043,ATL Jacob,11500989,-2154,210,25072953
1044,Chuyin,11500100,-7294,868,13238302
1045,Anuradha Sriram,11446931,-15025,954,12273829
1046,Jere Klein,11440643,-17474,601,13082461
1047,bôa,11434987,-14395,906,12275861
1048,ZZ Top,11432578,-4615,644,12484048
1049,DYSTINCT,11430941,-5086,923,11437367
1050,Darius Rucker,11426114,-37981,1030,11513738
1051,Sixpence None The Richer,11420918,29036,664,13190880
1052,Ilaiyaraaja,11402385,-2905,883,12471602
1053,Willy William,11394905,-697,780,11852662
1054,GIGI D'AGOSTINO,11375116,-13858,509,16063549
1055,Gael Valenzuela,11372374,-27445,884,12595006
1056,Laxmikant-Pyarelal,11366992,22189,951,11869637
1057,Diddy,11360035,4166,398,16823499
1058,Javed Akhtar,11359978,-15664,750,14254996
1059,Perunggu,11346223,44279,1059,11346223
1060,K'NAAN,11334874,92233,956,12223295
1061,Camila,11332325,-29430,508,15900239
1062,Em Beihold,11331171,-32334,135,26666031
1063,The Magician,11328490,-83411,966,12251392
1064,Andrew Choi,11322050,-26628,119,35817520
1065,Bob Seger,11320663,-24816,1061,11359482
1066,NATTAN,11301225,-27797,560,15745231
1067,Sheila On 7,11298600,-20977,773,14190957
1068,Skillet,11295116,24899,862,12299885
1069,Modjo,11293443,-32095,886,13032610
1070,Kungs,11283471,-60811,401,16546336
1071,Tyler Childers,11267324,-31636,610,13302962
1072,Kenny Chesney,11266213,-8261,867,11929223
1073,Jaideep Sahni,11256901,11645,741,13250375
1074,Hades66,11254388,-5005,983,11928868
1075,DJ Nelson,11246830,-22149,453,16878140
1076,Lainey Wilson,11240539,-42655,653,13541651
1077,Maren Morris,11232819,-30263,432,14821271
1078,Hanumankind,11230108,-29960,244,24453289
1079,Davido,11217620,35424,851,11721890
1080,The All-American Rejects,11216844,-9657,1041,11352382
1081,OMAH LAY,11213490,5319,767,12738553
1082,Blake Shelton,11193836,-11106,329,21028245
1083,Kushagra,11189555,-33766,701,15163550
1084,Majid Jordan,11178447,-5195,911,12743676
1085,Santa Fe Klan,11177939,-5853,576,12886402
1086,.Feast,11167231,-4356,738,13272374
1087,MC GP,11155154,-6425,792,12788883
1088,MXZI,11151620,-29037,304,23191469
1089,Harshdeep Kaur,11144206,-19948,838,13325314
1090,Nikhita Gandhi,11136661,-6566,485,15336893
1091,Owl City,11114937,5671,753,11253535
1092,Idgitaf,11112108,-16205,468,19053894
1093,DJ Oreia,11107066,-12820,900,11565199
1094,Cutting Crew,11085401,42667,1043,11085401
1095,Marília Mendonça,11080846,13138,398,14932890
1096,Emilia,11075280,-24352,337,19179139
1097,Mötley Crüe,11071077,-33978,917,11595805
1098,aespa,11051252,-40512,619,13739202
1099,Olivia Newton-John,11038137,-4242,548,15711570
1100,Talwiinder,11037473,10342,456,19782648
1101,Trinix,11027722,2599,1050,11078796
1102,Third Eye Blind,11026453,-715,1102,11027168
1103,J Alvarez,11025489,4101,995,12084363
1104,Eyedress,11024918,-15445,399,18287094
1105,Tim McGraw,11011593,-17734,590,14643751
1106,CKay,10985366,14643,429,15504745
1107,Ñejo,10983588,-22910,634,12006529
1108,Ash King,10983324,16521,1108,10983324
1109,Saaheal,10977485,-47813,696,14610774
1110,Alvaro Diaz,10972819,-20521,487,16168880
1111,Lucenzo,10960563,268069,1111,10960563
1112,PEDRO SAMPAIO,10955867,-56622,548,17166253
1113,MØ,10952555,-44265,966,11649158
1114,Moneybagg Yo,10939121,-23353,543,13691597
1115,Perera DJ,10929845,-1581,1103,11088446
1116,Belanova,10928373,14548,787,10928373
1117,Vijay Prakash,10926269,-10212,968,11641153
1118,LANY,10902600,8087,768,12920122
1119,SYML,10895796,-58392,464,14726953
1120,Orso,10889909,-39277,265,23709586
1121,Eric Church,10887114,-16261,734,13021035
1122,Gerardo Ortiz,10874241,-38137,888,11463892
1123,Shirin David,10865511,-56671,1102,11079502
1124,Espinoza Paz,10862135,-47592,1086,11148645
1125,Saja Boys,10859271,-24059,146,33239816
1126,Jul,10831352,-15173,1032,10846525
1127,Key Glock,10816564,-1291,444,16394056
1128,Navjot Ahuja,10815394,29974,1128,10815394
1129,DMX,10790809,-25613,615,11692979
1130,Franz Ferdinand,10785826,-15788,967,11799638
1131,LUDMILLA,10746086,-44394,327,19760775
1132,Staind,10740343,31013,1132,10740343
1133,Mustard,10740212,-15116,477,16679943
1134,Rekha Bhardwaj,10723675,-4686,841,12070009
1135,Miranda!,10716946,-40980,708,12129251
1136,A$AP Ferg,10715030,35968,585,12719676
1137,Def Leppard,10708121,-49739,994,10879580
1138,Juicy Luicy,10697563,8332,741,12110384
1139,Soundgarden,10692871,-11196,1082,11220399
1140,Pet Shop Boys,10688482,16898,1040,10960691
1141,Sohail Sen,10687551,4937,973,11622776
1142,The Doors,10680811,-24710,576,14836797
1143,Stray Kids,10680020,-2305,682,14253317
1144,Gnarls Barkley,10678598,-31335,689,14315157
1145,Cartel De Santa,10677396,-38120,376,15547760
1146,Ye,10671672,-127233,456,19575128
1147,Andy Grammer,10671603,-15534,733,11440409
1148,Coi Leray,10667384,-31198,72,38479080
1149,Smash Mouth,10666061,16936,817,11323052
1150,Raghav Chaitanya,10663267,-15723,754,12272593
1151,Jimmy Eat World,10662264,-8314,679,12294605
1152,Heart,10641088,-20835,717,10769619
1153,Talking Heads,10636551,-3119,696,14258907
1154,oskar med k,10635482,-103937,905,12284579
1155,Ariis,10633061,-43689,374,20086807
1156,t.A.T.u.,10625159,34135,810,13493268
1157,MOLIY,10623881,-36724,234,25456317
1158,Adolescent's Orquesta,10619210,-21394,1005,10717029
1159,Zoé,10604889,8782,973,11215332
1160,Sachin Gupta,10603658,-9735,1113,10955425
1161,Bharath,10600543,-35557,767,14296981
1162,Claudia Leitte,10595424,-11054,984,11945768
1163,Neil Diamond,10577090,-41236,1101,10709020
1164,Ram Sampath,10572636,-5623,472,16606741
1165,King Von,10568594,2787,760,14239593
1166,Selena,10553072,-16976,899,12095054
1167,Lil Tjay,10547702,-22621,268,19548091
1168,j-hope,10541677,-16362,640,14274372
1169,Vivek,10521984,-12288,1018,11759086
1170,Modern Talking,10515460,-9938,651,13539206
1171,Dj Samir,10514605,-40758,554,16617810
1172,Andrea Bocelli,10513668,-79942,532,17003820
1173,Shweta Mohan,10510183,-199,820,11531406
1174,Wesley Safadão,10504248,-22620,630,12636327
1175,Incubus,10501920,13264,944,10501920
1176,DJ DAVI DOGDOG,10487575,-1486,592,16541452
1177,Russ,10478561,-14234,365,17041050
1178,Lizzo,10477632,-52066,105,30100497
1179,CACAU CHUU,10471480,18678,1179,10471480
1180,Naresh Iyer,10456916,-14355,952,11956320
1181,Jon Z,10452451,11720,1046,10452451
1182,Fourtwnty,10437771,9280,408,19156171
1183,Poppy Baskcomb,10431819,-485,1183,10432304
1184,JC Reyes,10419700,-40898,902,12091724
1185,C. Tangana,10417544,-35557,700,12666271
1186,Natalia Lafourcade,10411813,-66430,685,12900184
1187,Gulzar,10411089,-18459,754,14264175
1188,Beach Weather,10408423,-14095,597,13538779
1189,Zac Efron,10393236,2680,810,11351188
1190,Bernadya,10376463,64793,505,16108630
1191,Los Plebes del Rancho de Ariel Camacho,10375526,10709,1156,10598561
