#,Artist,Listeners,Daily +/-,Peak,PkListeners
2243,BIN,6320111,3430,855,12208370
2244,Noah,6318557,580,1770,6318557
2245,Morgan Seatree,6316674,-21984,1440,8281074
2246,Sérgio Mendes,6312697,-23439,1937,6612069
2247,Rey Vaqueiro,6312131,8040,2247,6312131
2248,Rainbow Kitten Surprise,6310308,-11655,1093,8812010
2249,José Luis Perales,6309917,-66740,1784,7330261
2250,Hudson Westbrook,6309888,-11381,1646,7561285
2251,Rony Ajnali,6297494,-815,1113,9984023
2252,Dilsinho,6296187,2575,762,11575175
2253,Paris Paloma,6295334,3945,1399,7760006
2254,Gurinder Gill,6290174,-3765,692,11301680
2255,Ramajogayya Sastry,6289717,-7384,1292,8274252
2256,Rajat Arora,6289596,-2110,1862,7255250
2257,KT Tunstall,6287409,-32655,1888,7066142
2258,Dash Berlin,6284736,-55266,1821,6683835
2259,Shouse,6284382,5158,530,13218201
2260,Dj Guuga,6283465,-13260,727,13187113
2261,3OH!3,6283158,-11641,1937,7104300
2262,Ajay Gogavale,6282311,-10697,1563,7702187
2263,Beny Jr,6282309,-3250,1263,8326343
2264,Payung Teduh,6281758,5908,1812,6708896
2265,FIFTY FIFTY,6276417,-23437,70,37675143
2266,Ali Gatie,6275122,-2663,756,9794001
2267,Nena,6274244,16550,1691,6392526
2268,Seventeen,6272880,-19515,1167,8279783
2269,Omar Montes,6272844,-400,853,11031583
2270,Jenni Rivera,6267826,8785,1683,7755456
2271,Tinie Tempah,6264636,-5731,1298,7125677
2272,Wajid,6261035,-4663,2094,6453567
2273,Wolfgang Amadeus Mozart,6256942,-7242,1223,8253968
2274,Nemzzz,6249934,3591,1091,9641939
2275,Whitesnake,6248886,-10994,1605,7303924
2276,Mainstreet,6247061,-8644,781,11206118
2277,Banda Machos,6243490,-10766,2243,6386116
2278,Zeeba,6241480,-37531,1524,8204332
2279,Meghdeep Bose,6240723,-15247,1204,10085250
2280,Mi Banda El Mexicano,6240087,-17518,2178,6257605
2281,Richa Sharma,6239565,6409,2093,6453255
2282,Duha Shah,6238622,1727,1594,7683360
2283,Amanda Miguel,6235225,-9812,1790,7100860
2284,Ele A El Dominio,6234884,-12280,2104,6474882
2285,Raúl Beltran,6234765,39772,2246,6378085
2286,TOMORROW X TOGETHER,6232221,-8910,629,12038327
2287,Dr. Dog,6230074,-12229,1885,7365372
2288,Dopamine,6223554,-7644,1410,6442156
2289,Sub Urban,6217943,-24471,1361,6590245
2290,Up Dharma Down,6215851,9699,1839,6806720
2291,Joey Bada$$,6204359,-8384,772,10299380
2292,Palm Monkey,6203654,-4294,2240,6395239
2293,AliSoomroMusic,6201345,-10949,1261,8783107
2294,DJ Shadow,6198327,-7246,2107,6727690
2295,Molly Santana,6196283,-31903,553,17914769
2296,Gill Machhrai,6195409,-15540,1090,9997423
2297,Brando,6194023,1491,1124,8484693
2298,Maverick City Music,6191575,1383,1843,6596711
2299,Bone Thugs-N-Harmony,6190778,12080,1254,6586218
2300,Bellakath,6190010,-8877,574,13805188
2301,Afusic,6189293,-13614,1259,8786822
2302,Grupo Bryndis,6185106,-12794,2039,6495235
2303,DU'L,6184067,10153,2303,6184067
2304,Nat King Cole,6177873,-40982,58,52086497
2305,Jaden Bojsen,6176732,-26145,1727,6560467
2306,ICEDMANE,6175093,-21347,1787,7078758
2307,Suchitra,6174914,6226,2155,6220395
2308,Twista,6174783,-1003,1798,6240961
2309,Ludwig van Beethoven,6171329,-25817,1120,8513329
2310,Dewa,6167044,29202,1800,6568691
2311,Lil' Kim,6164164,-16283,1758,6460376
2312,KeBlack,6163982,-1580,1867,6586509
2313,DYSMANE,6162951,-19905,1794,7069790
2314,Kid Ink,6162644,11096,1620,6951153
2315,The Blessed Madonna,6162312,-22278,973,9987172
2316,Yugabharathi,6158922,-8767,2123,6573894
2317,The Vamps,6154091,-6089,871,8853137
2318,Reyli Barba,6153850,-17514,1690,7111787
2319,Videoclub,6152919,10559,1938,6498008
2320,A7S,6144546,-24640,578,11363223
2321,Pat Benatar,6142509,-14505,1673,6339279
2322,Almighty,6142495,-10937,1824,6703071
2323,Crazy Cousinz,6142138,47550,2323,6142138
2324,BossMan Dlow,6136683,-33249,1912,7252589
2325,CamrinWatsin,6128339,-32745,861,11199808
2326,Kasango,6126178,-680,2326,6126858
2327,Sofía Reyes,6125172,-10882,607,12276010
2328,back number,6124814,17196,2060,6566798
2329,Silambarasan TR,6124812,-6418,1718,6565358
2330,Sheheryar Rehan,6120751,-36313,1587,8458294
2331,Auli'i Cravalho,6118869,26280,1416,7862425
2332,Michael Sembello,6118785,-19433,1502,8786511
2333,HAYLA,6116649,-30454,1291,7931466
2334,Eiffel 65,6110785,-10327,1586,6253513
2335,Peter Bjorn and John,6109851,-22089,2137,6611886
2336,Rafael Quadros,6105623,-4486,2336,6110109
2337,Glen Campbell,6101996,-20719,2082,6492925
2338,Luciano,6100384,-3652,829,9205446
2339,RUSSI,6099877,-14200,2196,6491304
2340,Grupo Revelação,6096963,29633,1447,8747090
2341,Dennis Lloyd,6095608,-44444,908,10566810
2342,Villano Antillano,6095357,4010,682,12701778
2343,Sreerama Chandra,6094463,-12469,1319,9224386
2344,Kim Carnes,6093316,-37408,1574,7450194
2345,i wanna be a jack-o-lantern,6093033,9226,1421,8282168
2346,The Lantis,6089671,325,1074,9590648
2347,Antonio Aguilar,6088814,-100965,1978,6771571
2348,CountryBeat,6087619,23019,1363,9041395
2349,The Human League,6084627,-8657,1639,7760739
2350,TORRRES,6080685,-13828,1752,7231905
2351,MC G15,6080070,-12131,648,13493517
2352,Jmilton,6076027,-26611,951,11206427
2353,Jerry Rivera,6073747,-60,1827,6452990
2354,Phoenix,6070249,-29733,1477,7152731
2355,Pretenders,6067657,1736,704,12970702
2356,Toni Braxton,6067576,-25345,1527,8369448
2357,Prashant Ingole,6065057,-5003,1765,6794656
2358,Mother Mother,6063709,-9436,1008,8600568
2359,Michael Marcagi,6059443,21453,307,21166338
2360,Marina Sena,6057782,-1443,1298,9304304
2361,Cheat Codes,6057292,-19670,608,10975050
2362,Audrey Hobert,6054021,40456,2362,6054021
2363,Irene Cara,6053464,-9798,1200,7983150
2364,Murtuza Khan,6047729,2794,868,12222134
2365,Maelo Ruiz,6046860,-19386,1786,6465744
2366,IShowSpeed,6045756,67076,1838,7520725
2367,Mariah the Scientist,6043319,-12257,1205,9501527
2368,Damso,6043257,-749,1571,6892701
2369,Qadir Khan,6037941,3002,869,12214741
2370,Duncan Dhu,6035139,25201,1515,7372893
2371,DJ Goja,6034037,121026,2371,6034037
2372,Hollow Coves,6031318,8537,1489,7291823
2373,Hypaton,6030806,-10265,1087,9238396
2374,JP Saxe,6029558,-9189,898,9580582
2375,Djavan,6022332,10173,2108,6700237
2376,Dhee,6021047,-9731,1088,9482208
2377,Young Nudy,6016759,-1400,788,10428436
2378,Good Charlotte,6015817,-34108,1549,6990936
2379,cassö,6013578,-29400,265,21787952
2380,Kyla,6013548,60275,2380,6013548
2381,Dusty Springfield,6012353,-10554,905,10305065
2382,Elle King,6011941,27260,1096,9342061
2383,AlunaGeorge,6009669,-444,2379,6013884
2384,Extreme,6007745,-7189,1696,6798113
2385,The Bangles,6007156,-5783,1629,6391163
2386,Naeleck,6006489,-10996,654,12632163
2387,Natiruts,6003659,-14856,1397,8820281
2388,Kelis,6003419,-9481,907,11872059
2389,Zoha Waseem,6002517,-33514,1602,8382208
2390,MC Kevinho,6000706,-11542,1563,6990517
2391,cape,5998449,-20702,1131,10227384
2392,AnnenMayKantereit,5996197,9724,1380,6281960
2393,Florence Welch,5995359,72991,1642,7364666
